Min (MHz),Max (MHz),Primary Allocations UPPER (1),Primary Allocations UPPER (2),Primary Allocations UPPER (3),Primary Allocations UPPER (4),Primary Allocations UPPER (5),Primary Allocations UPPER (6),Primary Allocations UPPER (7),Primary Allocations UPPER (8)
54250,55780,EARTH EXPLORATION-SATELLITE (PASSIVE),INTER-SATELLITE,SPACE RESEARCH (PASSIVE),,,,,
55780,56900,EARTH EXPLORATION-SATELLITE (PASSIVE),FIXED,INTER-SATELLITE,MOBILE,SPACE RESEARCH (PASSIVE),,,
56900,57000,EARTH EXPLORATION-SATELLITE (PASSIVE),FIXED,INTER-SATELLITE,MOBILE,SPACE RESEARCH (PASSIVE),,,
57000,58200,EARTH EXPLORATION-SATELLITE (PASSIVE),FIXED,INTER-SATELLITE,MOBILE,SPACE RESEARCH (PASSIVE),,,
58200,59000,EARTH EXPLORATION-SATELLITE (PASSIVE),FIXED,MOBILE,SPACE RESEARCH (PASSIVE),,,,
59000,59300,EARTH EXPLORATION-SATELLITE (PASSIVE),FIXED,INTER-SATELLITE,MOBILE,RADIOLOCATION,SPACE RESEARCH (PASSIVE),,
59300,64000,FIXED,INTER-SATELLITE,MOBILE,RADIOLOCATION,,,,
64000,65000,FIXED,INTER-SATELLITE,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,
65000,66000,EARTH EXPLORATION-SATELLITE,FIXED,INTER-SATELLITE,MOBILE EXCEPT AERONAUTICAL MOBILE,SPACE RESEARCH,,,
66000,71000,INTER-SATELLITE,MOBILE,MOBILE-SATELLITE,RADIONAVIGATION,RADIONAVIGATION-SATELLITE,,,
71000,74000,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE,MOBILE-SATELLITE (SPACE-TO-EARTH),,,,
74000,76000,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE,BROADCASTING,BROADCASTING-SATELLITE,,,
76000,77500,RADIO ASTRONOMY,RADIOLOCATION,,,,,,
77500,78000,AMATEUR,AMATEUR-SATELLITE,RADIOLOCATION,,,,,
78000,79000,RADIOLOCATION,,,,,,,
79000,81000,RADIO ASTRONOMY,RADIOLOCATION,,,,,,
81000,84000,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,MOBILE-SATELLITE (EARTH-TO-SPACE),RADIO ASTRONOMY,,,
84000,86000,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,RADIO ASTRONOMY,,,,
86000,92000,EARTH EXPLORATION-SATELLITE (PASSIVE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,
92000,94000,FIXED,MOBILE,RADIO ASTRONOMY,RADIOLOCATION,,,,
94000,94100,EARTH EXPLORATION-SATELLITE,RADIOLOCATION,SPACE RESEARCH,,,,,
94100,95000,FIXED,MOBILE,RADIO ASTRONOMY,RADIOLOCATION,,,,
95000,100000,FIXED,MOBILE,RADIO ASTRONOMY,RADIOLOCATION,RADIONAVIGATION,RADIONAVIGATION-SATELLITE,,
100000,102000,EARTH EXPLORATION-SATELLITE (PASSIVE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,
102000,105000,FIXED,MOBILE,RADIO ASTRONOMY,,,,,
105000,109500,FIXED,MOBILE,RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,
109500,111800,EARTH EXPLORATION-SATELLITE (PASSIVE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,
111800,114250,FIXED,MOBILE,RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,
